Territory                            First Exchange (UTC)  Last Exchange (UTC)  Exchanges
-----------------------------------------------------------------------------------------
Abandoned Church                     2018-01-04 09:41:04  2021-01-19 16:58:31      885
Abandoned Farm                       2018-01-20 23:44:48  2026-02-27 02:06:14     4131
Abandoned Lumberyard                 2024-08-26 14:09:40  2026-02-27 02:27:32     1139
Abandoned Manor                      2021-01-22 13:28:36  2024-08-26 03:18:35     1862
Abandoned Mines                      2024-08-26 12:21:21  2026-02-26 02:14:58     1970
Abandoned Mines Entrance             2024-08-26 12:15:47  2026-02-26 16:56:51     2283
Abandoned Pass                       2018-10-30 01:35:13  2026-02-26 02:04:55     4664
Abandoned Tower                      2018-01-20 00:55:40  2021-01-18 19:22:52      864
Accursed Dunes                       2024-08-28 03:13:14  2026-02-27 02:48:56     2564
Active Volcano                       2018-01-04 18:52:16  2024-09-02 01:19:59     7356
Aerial Descent                       2024-08-26 18:17:22  2026-02-25 12:23:56     1428
Ahmsord                              2018-01-10 22:23:22  2026-02-24 18:50:07     7210
Ahmsord Outskirts                    2018-02-01 23:43:37  2026-02-25 12:15:56     5870
Air Temple Lower                     2018-01-05 18:59:39  2024-08-26 01:37:05     3637
Air Temple Upper                     2018-01-07 18:39:10  2024-08-26 01:42:20     3055
Akias Ruins                          2024-08-27 14:13:43  2026-02-27 03:18:24     2023
Aldorei Cliffside Waterfalls         2024-08-30 01:35:56  2026-02-24 00:00:09     1619
Aldorei Lowlands                     2018-02-08 22:19:27  2024-08-26 03:20:54     4627
Aldorei River                        2024-08-30 01:37:56  2026-02-22 22:10:52     1337
Aldorei Springs                      2024-08-30 13:32:39  2026-02-24 00:10:05     1289
Aldorei Valley                       2024-08-26 16:26:54  2026-02-24 00:10:05     1366
Aldorei Valley Lower                 2018-01-04 12:19:43  2024-08-26 03:04:58     9550
Aldorei Valley Mid                   2018-01-04 12:01:56  2024-08-26 03:32:03     3711
Aldorei Valley Outskirts             2024-08-27 10:39:53  2026-02-22 03:00:01      862
Aldorei Valley South Entrance        2018-01-20 00:45:05  2024-08-25 23:59:35    23719
Aldorei Valley Upper                 2018-01-04 12:10:17  2024-08-26 03:38:45     3850
Aldorei Valley West Entrance         2018-01-04 12:29:10  2024-08-26 03:13:46    11509
Aldorei's Arch                       2021-01-22 04:02:43  2024-08-25 23:42:51    14149
Aldorei's North Exit                 2021-01-21 05:43:42  2024-08-26 00:07:17    16857
Aldorei's River                      2021-01-21 05:49:22  2024-08-26 03:16:57     3466
Aldorei's Waterfall                  2021-01-21 07:48:57  2024-08-26 03:49:47     3188
Aldorei’s Arch                       2018-01-19 02:04:00  2021-01-20 18:44:02      760
Aldorei’s North Exit                 2018-01-20 01:13:21  2021-01-14 18:27:16     1599
Aldorei’s River                      2018-01-04 15:09:04  2021-01-12 19:47:53     1072
Aldorei’s Waterfall                  2018-01-20 00:13:06  2021-01-12 19:51:49      906
Alekin                               2024-08-28 01:38:54  2026-02-26 04:40:17     1482
Almuj                                2024-08-29 13:28:05  2026-02-27 02:40:45     1858
Almuj City                           2018-01-06 05:57:21  2024-08-26 00:17:11     8850
Almuj Slums                          2024-08-28 03:07:06  2026-02-27 02:37:18     2825
Ancient Excavation                   2024-08-28 03:10:02  2026-02-27 02:46:03     2484
Ancient Nemract                      2018-02-09 11:06:05  2026-02-27 01:42:20    10475
Ancient Waterworks                   2024-08-28 18:17:13  2026-02-27 01:29:19     2322
Angel Refuge                         2018-02-01 23:45:24  2026-02-25 12:53:41     4804
